PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,quarter,year
MARKHAM PLAYGROUND,STATEN ISLAND,2.836,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
SPERANDEO BROTHERS PLAYGROUND,BROOKLYN     ,2.799,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE,BROOKLYN     ,2.783,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
IRVING SQUARE PARK,BROOKLYN     ,2.76,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
ST. VARTAN PARK,MANHATTAN    ,2.759,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
RAVENSWOOD PLAYGROUND,QUEENS       ,2.758,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
GORMAN PLAYGROUND,QUEENS       ,2.755,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
LOUIS CUVILLIER PARK,MANHATTAN    ,2.752,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
GRACE PLAYGROUND,BROOKLYN     ,2.744,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
GREEN CENTRAL KNOLL,BROOKLYN     ,2.741,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
DETECTIVE WILLIAM T. GUNN PARK,QUEENS       ,2.719,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
HOLY COW PLAYGROUND,QUEENS       ,2.7,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
BAYSIDE FIELDS,QUEENS       ,2.69,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
HICKMAN PLAYGROUND,BROOKLYN     ,2.656,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
ARBUTUS WOODS PARK,STATEN ISLAND,2.65,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
STARS & STRIPES PLAYGROUND,BRONX        ,2.646,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
P.O. SERRANO PLAYGROUND,BRONX        ,2.618,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
COLEMAN PLAYGROUND,MANHATTAN    ,2.61,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
MARGARET I. CARMAN GREEN - WEEPING BEECH,QUEENS       ,2.6,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
KATHY REILLY TRIANGLE,BROOKLYN     ,2.589,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
RIVERDALE PLAYGROUND,BRONX        ,2.58,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
MARIE CURIE PARK,QUEENS       ,2.552,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
EDENWALD PLAYGROUND,BRONX        ,2.537,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
THOMAS GREENE PLAYGROUND,BROOKLYN     ,2.525,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
MURRAY PLAYGROUND,QUEENS       ,2.524,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
BIG BUSH PARK,QUEENS       ,2.5,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
BATHGATE PLAYGROUND,BRONX        ,2.5,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
JOSEPH RODMAN DRAKE PARK,BRONX        ,2.49,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
INDEPENCE PARK SYLVAN GROVE CEMETERY,STATEN ISLAND,2.476,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
ALLEY PARK,QUEENS       ,2.446,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
FREDERICK JOHNSON PLAYGROUND,MANHATTAN    ,2.445,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
DAMROSCH PARK,MANHATTAN    ,2.443,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
ASSER LEVY PLAYGROUND,MANHATTAN    ,2.436,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
HARRY MAZE PLAYGROUND,BROOKLYN     ,2.427,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
LOST BATTALION HALL RECREATION CENTER,QUEENS       ,2.412,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
